policy_id,policy_vrsn_no,customer_id,initial_start_date,start_date,end_date,next_renewal_date,cancellation_date,policy_status,premium_frequency,premium_amount,product,lob,coverages
81072800194,0001,667030025,2022-11-26,2022-11-26,2023-11-26,2023-11-26,,Inactive,1,390.60,ΕΙΔΙΩΤ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2105,2134,2140,2151"
81072800194,0002,667030025,2022-11-26,2023-11-26,2024-11-26,2024-11-26,,Inactive,12,546.85,ΕΙΔΙΩΤ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2134,2140"
81072800194,0003,667030025,2022-11-26,2024-11-26,2025-11-26,2025-11-26,,Inactive,12,447.71,ΕΙΔΙΩΤ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2140,2151,2163"
81072800194,0004,667030025,2022-11-26,2025-11-26,2026-11-26,2026-11-26,,Active,3,387.71,ΕΙΔΙΩΤ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2101,2134,2140,2151"
57576214081,0001,802851286,2020-03-11,2020-03-11,2021-03-11,2021-03-11,,Inactive,6,1570.02,ΕΚΑΤΑ,ΠΥΡΟΣ,"1102,1145,1150"
57576214081,0002,802851286,2020-03-11,2021-03-11,2022-03-11,2022-03-11,,Inactive,6,1597.90,ΕΚΑΤΑ,ΠΥΡΟΣ,"1150,1162"
57576214081,0003,802851286,2020-03-11,2022-03-11,2023-03-11,2023-03-11,,Inactive,12,1076.64,ΕΚΑΤΑ,ΠΥΡΟΣ,"1101,1104,1121,1145"
57576214081,0004,802851286,2020-03-11,2023-03-11,2024-03-11,2024-03-11,,Inactive,12,1599.18,ΕΚΑΤΑ,ΠΥΡΟΣ,"1110,1121,1145"
60350303575,0001,982879492,2024-04-12,2024-04-12,2025-04-12,2025-04-12,,Inactive,1,180.48,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2134,2151"
18256606341,0001,853715347,2023-02-07,2023-02-07,2024-02-07,2024-02-07,,Inactive,12,342.88,ΕΦΑΡΜ,ΠΥΡΟΣ,"1102,1121,1150,1162"
18256606341,0002,853715347,2023-02-07,2024-02-07,2025-02-07,2025-02-07,,Inactive,12,595.54,ΕΦΑΡΜ,ΠΥΡΟΣ,"1102,1104,1145,1162"
18256606341,0003,853715347,2023-02-07,2025-02-07,2026-02-07,2026-02-07,,Inactive,12,892.21,ΕΦΑΡΜ,ΠΥΡΟΣ,"1101,1121,1133,1145"
13541017349,0001,699737656,2022-09-22,2022-09-22,2023-09-22,2023-09-22,,Inactive,6,950.55,ΦΕΜΠΟ,ΠΥΡΟΣ,"1110,1150"
13541017349,0002,699737656,2022-09-22,2023-09-22,2024-09-22,2024-09-22,,Inactive,3,266.12,ΦΕΜΠΟ,ΠΥΡΟΣ,"1101,1104,1145"
13541017349,0003,699737656,2022-09-22,2024-09-22,2025-09-22,2025-09-22,,Inactive,12,248.34,ΦΕΜΠΟ,ΠΥΡΟΣ,"1101,1104"
13541017349,0004,699737656,2022-09-22,2025-09-22,2026-09-22,2026-09-22,,Active,12,1174.91,ΦΕΜΠΟ,ΠΥΡΟΣ,"1102,1104,1121,1145"
27480973622,0001,229539698,2024-11-21,2024-11-21,2025-11-21,2025-11-21,,Inactive,3,617.26,ΕΦΑΡΜ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2110,2122,2134,2151"
27480973622,0002,229539698,2024-11-21,2025-11-21,2026-11-21,2026-11-21,,Inactive,1,162.37,ΕΦΑΡΜ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2122,2134"
27480973622,0003,229539698,2024-11-21,2026-11-21,2027-11-21,2027-11-21,,Active,3,215.04,ΕΦΑΡΜ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2105,2110,2151,2163"
12565271313,0001,265282150,2020-03-19,2020-03-19,2021-03-19,2021-03-19,,Inactive,12,707.72,ΦΚΑΤΚ,ΠΥΡΟΣ,"1102,1133,1145,1162"
12565271313,0002,265282150,2020-03-19,2021-03-19,2022-03-19,2022-03-19,,Inactive,12,377.41,ΦΚΑΤΚ,ΠΥΡΟΣ,"1145,1162"
12565271313,0003,265282150,2020-03-19,2022-03-19,2023-03-19,2023-03-19,,Inactive,1,457.74,ΦΚΑΤΚ,ΠΥΡΟΣ,"1101,1104,1133,1145"
81264003090,0001,594443524,2021-04-21,2021-04-21,2022-04-21,2022-04-21,,Inactive,12,885.77,ΦΕΜΠΟ,ΠΥΡΟΣ,"1102,1145"
81264003090,0002,594443524,2021-04-21,2022-04-21,2023-04-21,2023-04-21,,Inactive,1,220.24,ΦΕΜΠΟ,ΠΥΡΟΣ,"1133,1145,1162"
81264003090,0003,594443524,2021-04-21,2023-04-21,2024-04-21,2024-04-21,,Inactive,6,873.10,ΦΕΜΠΟ,ΠΥΡΟΣ,"1102,1121,1133,1162"
81264003090,0004,594443524,2021-04-21,2024-04-21,2025-04-21,2025-04-21,,Inactive,6,695.56,ΦΕΜΠΟ,ΠΥΡΟΣ,"1101,1102,1121,1145"
94907683473,0001,956930689,2020-03-25,2020-03-25,2021-03-25,2021-03-25,,Inactive,12,150.30,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2105,2140,2151"
94907683473,0002,956930689,2020-03-25,2021-03-25,2022-03-25,2022-03-25,,Inactive,6,347.78,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2101,2110,2140,2151"
94907683473,0003,956930689,2020-03-25,2022-03-25,2023-03-25,2023-03-25,,Inactive,12,99.47,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2122,2134,2151,2163"
94907683473,0004,956930689,2020-03-25,2023-03-25,2024-03-25,2024-03-25,,Inactive,12,315.06,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2101,2105,2151"
94740116228,0001,720238212,2020-07-01,2020-07-01,2021-07-01,2021-07-01,,Inactive,12,1023.50,ΦΕΜΠΟ,ΠΥΡΟΣ,"1104,1121,1150,1162"
94740116228,0002,720238212,2020-07-01,2021-07-01,2022-07-01,2022-07-01,,Inactive,12,564.53,ΦΕΜΠΟ,ΠΥΡΟΣ,"1102,1110"
20889520419,0001,357023590,2025-04-06,2025-04-06,2026-04-06,2026-04-06,,Inactive,12,156.03,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2134,2151"
20889520419,0002,357023590,2025-04-06,2026-04-06,2027-04-06,2027-04-06,,Active,12,428.38,ΠΠΡΟΣ,ΠΡΟΣΩΠΙΚΟ ΑΤΥΧΗΜΑ,"2101,2122,2134"
